id,nombre,grupo,categoria,alcaldia,fecha_decreto,fecha_decreto_iso,superficie,programa_manejo,fecha_pm,fecha_pm_iso,suelo_conservacion,observaciones
042,Bosque de Tlalpan,ANP · Local,Zona Ecológica y Cultural,Tlalpan,17/06/2011,2011-06-17,252.86,Sí,20/06/2011,2011-06-20,No,
043,Cerro de la Estrella (local),ANP · Local,Zona Ecológica y Cultural,Iztapalapa,02/11/2005,2005-11-02,121.77,Sí,06/04/2007,2007-04-06,Sí,
044,Ecoguardas,ANP · Local,Zona de Conservación Ecológica,Tlalpan,20/11/2006,2006-11-20,132.63,Sí,04/12/2018,2018-12-04,Sí,
045,Ejidos de Xochimilco y San Gregorio Atlapulco,ANP · Local,Zona Sujeta a Conservación Ecológica,"Xochimilco, Tláhuac",04/12/2006,2006-12-04,2522.43,Sí,26/02/2018,2018-02-26,Sí,
046,La Armella,ANP · Local,Zona de Conservación Ecológica,Gustavo A. Madero,09/06/2006,2006-06-09,193.38,Sí,08/12/2006,2006-12-08,Sí,
047,La Loma,ANP · Local,Zona de Conservación Ecológica,Álvaro Obregón,20/04/2010,2010-04-20,77.33,Sí,21/05/2012,2012-05-21,No,
048,Los Encinos,ANP · Local,Zona de Protección Hidrológica y Ecológica,Tlalpan,01/12/2009,2009-12-01,25.01,Sí,29/12/2016,2016-12-29,No,
049,Parque Ecológico de la Ciudad de México,ANP · Local,Zona Sujeta a Conservación Ecológica,Tlalpan,28/06/1989,1989-06-28,727.61,Sí,10/09/2021,2021-09-10,Sí,
050,San Bernabé Ocotepec,ANP · Local,Reserva Ecológica Comunitaria,"La Magdalena Contreras, Álvaro Obregón",21/06/2010,2010-06-21,240.38,No,—,,Sí,
051,San Miguel Ajusco,ANP · Local,Reserva Ecológica Comunitaria,Tlalpan,16/11/2010,2010-11-16,1175.99,No,—,,Sí,
052,San Miguel Topilejo,ANP · Local,Reserva Ecológica Comunitaria,"Tlalpan, Milpa Alta",26/06/2007,2007-06-26,6000.29,No,—,,Sí,
053,San Nicolás Totolapan,ANP · Local,Reserva Ecológica Comunitaria,"La Magdalena Contreras, Tlalpan",29/11/2006,2006-11-29,1984.70,No,—,,Sí,
054,Sierra de Guadalupe (local),ANP · Local,Zona Sujeta a Conservación Ecológica,Gustavo A. Madero,20/08/2002,2002-08-20,633.68,Sí,08/11/2016,2016-11-08,Sí,
055,Sierra de Santa Catarina (ZCE),ANP · Local,Zona de Conservación Ecológica,"Iztapalapa, Tláhuac",21/08/2003,2003-08-21,528.00,Sí,19/08/2005,2005-08-19,Sí,
056,Sierra de Santa Catarina (ZSCE),ANP · Local,Zona Sujeta a Conservación Ecológica,"Tláhuac, Iztapalapa",21/08/2003,2003-08-21,220.55,Sí,19/08/2005,2005-08-19,Sí,
057,Tempiluli,ANP · Local,Zona de Protección Especial,Tláhuac,11/08/2011,2011-08-11,47.55,Sí,06/11/2023,2023-11-06,Sí,
058,Cerro de la Estrella (federal),ANP · Federal,Parque Nacional,Iztapalapa,24/08/1938,1938-08-24,1100.00,Sí,16/04/2007,2007-04-16,Sí,
059,Cumbres del Ajusco,ANP · Federal,Parque Nacional,Tlalpan,26/08/1936,1936-08-26,920.00,No,—,,Sí,
060,Desierto de los Leones,ANP · Federal,Parque Nacional,Cuajimalpa de Morelos,27/11/1917,1917-11-27,1529.00,Sí,22/05/2006,2006-05-22,Sí,
061,El Histórico Coyoacán,ANP · Federal,Parque Nacional,Coyoacán,26/09/1938,1938-09-26,39.76,No,—,,No,
062,El Tepeyac,ANP · Federal,Parque Nacional,Gustavo A. Madero (CDMX) / Tlalnepantla de Baz (EDOMEX),18/02/1937,1937-02-18,1500.00,No,—,,Sí,
063,Fuentes Brotantes de Tlalpan,ANP · Federal,Parque Nacional,Tlalpan,28/09/1936,1936-09-28,129.00,No,—,,No,
064,Insurgente Miguel Hidalgo y Costilla,ANP · Federal,Parque Nacional,Cuajimalpa de Morelos,18/09/1936,1936-09-18,525.05,Sí,21/04/2019,2019-04-21,Sí,
065,Lago Tláhuac-Xico,ANP · Federal,Área de Protección de Recursos Naturales,Tláhuac,08/01/2024,2024-01-08,3545.41,No,—,,Sí,
066,Lomas de Padierna,ANP · Federal,Parque Nacional,"La Magdalena Contreras, Álvaro Obregón, Tlalpan",22/04/1938,1938-04-22,1161.21,No,—,,Sí,
